qry,state,district
Elise Stefanik,NY,21.0
Anthony Brindisi,NY,22.0
Tom Reed,NY,23.0
John Katko,NY,24.0
Joseph Morelle,NY,25.0
Brian Higgins,NY,26.0
Steve Chabot,OH,1.0
Brad Wenstrup,OH,2.0
Joyce Beatty,OH,3.0
Jim Jordan,OH,4.0
Bob Latta,OH,5.0
Bill Johnson,OH,6.0
Bob Gibbs,OH,7.0
Warren Davidson,OH,8.0
Marcy Kaptur,OH,9.0
Mike Turner,OH,10.0
Marcia Fudge,OH,11.0
Troy Balderson,OH,12.0
Tim Ryan,OH,13.0
David Joyce,OH,14.0
Steve Stivers,OH,15.0
Anthony Gonzalez,OH,16.0
Kevin Hern,OK,1.0
Markwayne Mullin,OK,2.0
Frank Lucas,OK,3.0
Tom Cole,OK,4.0
Kendra Horn,OK,5.0
Suzanne Bonamici,OR,1.0
Greg Walden,OR,2.0
Earl Blumenauer,OR,3.0
Peter DeFazio,OR,4.0
Kurt Schrader,OR,5.0
Brian Fitzpatrick,PA,1.0
Brendan Boyle,PA,2.0
Dwight Evans,PA,3.0
Madeleine Dean,PA,4.0
Mary Gay Scanlon,PA,5.0
Chrissy Houlahan,PA,6.0
Susan Wild,PA,7.0
Matt Cartwright,PA,8.0
Dan Meuser,PA,9.0
Scott Perry,PA,10.0
Lloyd Smucker,PA,11.0
Fred Keller,PA,12.0
John Joyce,PA,13.0
Guy Reschenthaler,PA,14.0
Glenn Thompson,PA,15.0
Mike Kelly,PA,16.0
Conor Lamb,PA,17.0
Michael F. Doyle,PA,18.0
Jenniffer González,PR,0.0
David Cicilline,RI,1.0
James Langevin,RI,2.0
Joe Cunningham,SC,1.0
Joe Wilson,SC,2.0
Jeff Duncan,SC,3.0
William Timmons,SC,4.0
Ralph Norman,SC,5.0
Jim Clyburn,SC,6.0
Tom Rice,SC,7.0
Dusty Johnson,SD,0.0
Phil Roe,TN,1.0
Tim Burchett,TN,2.0
Chuck Fleischmann,TN,3.0
Scott DesJarlais,TN,4.0
Jim Cooper,TN,5.0
John Rose,TN,6.0
Mark E. Green,TN,7.0
David Kustoff,TN,8.0
Steve Cohen,TN,9.0
Louie Gohmert,TX,1.0
Dan Crenshaw,TX,2.0
Van Taylor,TX,3.0
John Ratcliffe,TX,4.0
Lance Gooden,TX,5.0
Ron Wright,TX,6.0
Lizzie Pannill Fletcher,TX,7.0
Kevin Brady,TX,8.0
Al Green,TX,9.0
Michael McCaul,TX,10.0
Mike Conaway,TX,11.0
Kay Granger,TX,12.0
Mac Thornberry,TX,13.0
Randy Weber,TX,14.0
Vicente Gonzalez,TX,15.0
Veronica Escobar,TX,16.0
Bill Flores,TX,17.0
Sheila Jackson Lee,TX,18.0
Jodey Arrington,TX,19.0
Joaquín Castro,TX,20.0
Chip Roy,TX,21.0
Pete Olson,TX,22.0
Will Hurd,TX,23.0
Kenny Marchant,TX,24.0
Roger Williams,TX,25.0
Michael C. Burgess,TX,26.0
Michael Cloud,TX,27.0
Henry Cuellar,TX,28.0
Sylvia Garcia,TX,29.0
Eddie Bernice Johnson,TX,30.0
John Carter,TX,31.0
Colin Allred,TX,32.0
Marc Veasey,TX,33.0
Filemon Vela Jr.,TX,34.0
Lloyd Doggett,TX,35.0
Brian Babin,TX,36.0
Rob Bishop,UT,1.0
Chris Stewart,UT,2.0
John Curtis,UT,3.0
Ben McAdams,UT,4.0
Rob Wittman,VA,1.0
Elaine Luria,VA,2.0
Bobby Scott,VA,3.0
Donald McEachin,VA,4.0
Denver Riggleman,VA,5.0
Ben Cline,VA,6.0
Abigail Spanberger,VA,7.0
Don Beyer,VA,8.0
Morgan Griffith,VA,9.0
Jennifer Wexton,VA,10.0
Gerry Connolly,VA,11.0
Stacey Plaskett,VI,0.0
Peter Welch,VT,0.0
Suzan DelBene,WA,1.0
Rick Larsen,WA,2.0
Jaime Herrera Beutler,WA,3.0
Dan Newhouse,WA,4.0
Cathy McMorris Rodgers,WA,5.0
Derek Kilmer,WA,6.0
Pramila Jayapal,WA,7.0
Kim Schrier,WA,8.0
Adam Smith,WA,9.0
Denny Heck,WA,10.0
Bryan Steil,WI,1.0
Mark Pocan,WI,2.0
Ron Kind,WI,3.0
Gwen Moore,WI,4.0
Jim Sensenbrenner,WI,5.0
Glenn Grothman,WI,6.0
Mike Gallagher,WI,8.0
David McKinley,WV,1.0
Alex Mooney,WV,2.0
Carol Miller,WV,3.0
Liz Cheney,WY,0.0
