domain,counts,news,education,social,gov,campaign_personal,other_third_party,title,sum
scottpeters.com,146307,0,0,0,0,1,0,scott peters for congress,1
kokomoperspective.com,1616,0,0,0,0,0,1,,1
washtimesherald.com,453,1,0,0,0,0,0,,1
johnrose.com,127832,0,0,0,0,1,0,john rose - congress,1
nwnewsnetwork.org,10607,1,0,0,0,0,0,,1
lehighvalleylive.com,39740,1,0,0,0,0,0,,1
indexjournal.com,43948,1,0,0,0,0,0,,1
northcentralpa.com,19549,1,0,0,0,0,0,"northcentralpa.com | news, articles and events from northcentral pennsylvania",1
nprillinois.org,27725,1,0,0,0,0,0,home - npr illinois | stand with the facts  | npr illinois,1
demingheadlight.com,2031,1,0,0,0,0,0,,1
wandtv.com,8802,1,0,0,0,0,0,,1
gettysburgtimes.com,2163,1,0,0,0,0,0,,1
postregister.com,38794,1,0,0,0,0,0,,1
bonamiciforcongress.com,128491,0,0,0,0,1,0,,1
parsippanyfocus.com,7147,1,0,0,0,0,0,,1
myvalleynews.com,934,1,0,0,0,0,0,,1
montgomerynews.com,31451,1,0,0,0,0,0,,1
foodtank.com,3924,0,0,0,0,0,1,food tank: the think tank for food,1
kyma.com,46644,1,0,0,0,0,0,,1
kusi.com,150181,1,0,0,0,0,0,,1
troymessenger.com,9041,1,0,0,0,0,0,,1
wfmd.com,24596,1,0,0,0,0,0,frederick's free talk | wfmd-am,1
wwltv.com,106090,1,0,0,0,0,0,,1
vicksburgpost.com,7742,1,0,0,0,0,0,,1
tamusa.edu,626,0,1,0,0,0,0,,1
yakimaherald.com,83602,1,0,0,0,0,0,,1
adamsmith.org,126961,0,0,0,0,0,1,adam smith institute - adam smith institute,1
theitem.com,81813,1,0,0,0,0,0,,1
dsnews.com,13098,1,0,0,0,0,0,,1
wiltonbulletin.com,2115,1,0,0,0,0,0,,1
redlands.edu,14384,0,1,0,0,0,0,,1
tedbudd.com,97588,0,0,0,0,1,0,ted budd,1
doorcountypulse.com,4,1,0,0,0,0,0,door county news - door county pulse,1
kwqc.com,67981,1,0,0,0,0,0,,1
cloudforcongress.com,109188,0,0,0,0,1,0,,1
thecentralvirginian.com,2616,1,0,0,0,0,0,,1
allawson.com,84362,0,0,0,0,0,1,,1
friendsofglennthompson.com,96931,0,0,0,0,1,0,"congressman glenn ""gt"" thompson - representing pennsylvania's 15th
      district - offical campaign website ",1
kmov.com,67404,1,0,0,0,0,0,,1
kasu.org,803,1,0,0,0,0,0,,1
belleplaineherald.com,404,1,0,0,0,0,0,,1
wikivisually.com,2,0,0,0,0,0,1,"
wikivisually
",1
instagram.com,384041,0,0,1,0,0,0,,1
sooeveningnews.com,1,1,0,0,0,0,0,,1
columbiamissourian.com,67918,1,0,0,0,0,0,,1
yubanet.com,12623,1,0,0,0,0,0,yubanet - we deliver news to the sierra,1
neusenews.com,19077,1,0,0,0,0,0,,1
kwch.com,131091,1,0,0,0,0,0,,1
whqr.org,23458,1,0,0,0,0,0,,1
wjct.org,178857,1,0,0,0,0,0,,1
insurancejournal.com,5894,1,0,0,0,0,0,,1
clickorlando.com,71110,1,0,0,0,0,0,"clickorlando l orlando, florida news, local headlines l wkmg news 6",1
leoweekly.com,11518,1,0,0,0,0,0,,1
defenseone.com,38088,1,0,0,0,0,0,defense one,1
visaliatimesdelta.com,9589,1,0,0,0,0,0,,1
law.com,34353,0,0,0,0,0,1,law.com | the premier source for global legal news & analysis,1
greenwooddemocrat.com,872,0,0,0,0,1,0,,1
fitsnews.com,4686,1,0,0,0,0,0,,1
cyberscoop.com,34559,1,0,0,0,0,0,"cyberscoop | breaking cybersecurity news, public sector threats",1
liberalfirst.com,2680,0,0,0,0,0,1,home,1
startribune.com,725267,1,0,0,0,0,0,,1
alaskansfordonyoung.com,170034,0,0,0,0,1,0,alaskans for don young | standing up for alaska everyday,1
sheilajacksonlee18.com,111239,1,0,0,0,0,0,independent field of knowledge - political journalism,1
wahoo-ashland-waverly.com,4493,1,0,0,0,0,0,,1
maysville-online.com,5,1,0,0,0,0,0,,1
effinghamherald.net,9443,1,0,0,0,0,0,,1
fresnobee.com,282952,1,0,0,0,0,0,,1
theeastsiderla.com,20659,1,0,0,0,0,0,theeastsiderla.com | news from the eastside of los angeles,1
romesentinel.com,30065,1,0,0,0,0,0,,1
arktimes.com,31091,1,0,0,0,0,0,,1
mynews4.com,55816,1,0,0,0,0,0,,1
sdxcentral.com,7439,1,0,0,0,0,0,"sdxcentral | make informed tech decisions, faster",1
laconiadailysun.com,10836,1,0,0,0,0,0,laconiadailysun.com | seeking the truth and printing it.,1
kentucky.com,209529,1,0,0,0,0,0,,1
gop.gov,3562366,0,0,0,1,0,0,,1
out.com,4071,0,0,0,0,0,1,"out magazine - gay & lesbian travel, fashion, culture & politics",1
jeffduncan.com,22213,0,0,0,0,1,0,home - jeff duncan for congress,1
lawenforcementtoday.com,630,0,0,0,0,0,1,welcome | law enforcement today | lawenforcementtoday.com,1
northescambia.com,5882,1,0,0,0,0,0, northescambia.com,1
augustachronicle.com,21007,1,0,0,0,0,0,,1
tennessean.com,233159,1,0,0,0,0,0,,1
thecollegepost.com,6084,0,1,0,0,0,0,,1
chrispappas.org,93311,0,0,0,0,1,0,chris pappas for congress,1
berkeley.edu,10799,0,1,0,0,0,0,,1
boxrec.com,5676,0,0,0,0,0,1,"
							boxrec
					",1
wtva.com,93956,1,0,0,0,0,0,,1
onenewspage.com,740,1,0,0,0,0,0,,1
floridatoday.com,95973,1,0,0,0,0,0,,1
thetimesnews.com,434,1,0,0,0,0,0,,1
wbay.com,41490,1,0,0,0,0,0,,1
hawaiitribune-herald.com,631,1,0,0,0,0,0,,1
andnowuknow.com,1801,0,0,0,0,0,1,,1
brucewesterman.com,112724,0,0,0,0,1,0,bruce westerman for congress,1
pressofatlanticcity.com,58962,1,0,0,0,0,0,,1
ca.gov,22640,0,0,0,1,0,0,,1
techcrunch.com,8783,0,0,0,0,0,1,,1
teenvogue.com,77645,1,0,0,0,0,0,,1
theaustralian.com.au,84,1,0,0,0,0,0,,1
newscenter1.tv,14433,1,0,0,0,0,0,,1
theblockcrypto.com,407,0,0,0,0,0,1,"bitcoin, ethereum, and crypto news, live prices, and charts | the block",1
sentinel-standard.com,10761,1,0,0,0,0,0,,1
chuckforcongress.com,132754,0,0,0,0,1,0,,1
tdn.com,17485,1,0,0,0,0,0,,1
theappeal.org,43778,1,0,0,0,0,0,home page - the appeal,1
metrowestdailynews.com,2306,1,0,0,0,0,0,,1
northdallasgazette.com,2454,1,0,0,0,0,0,,1
frontiersman.com,6590,1,0,0,0,0,0,,1
marcialfudge.com,49803,0,0,0,0,0,1,,1
bisnow.com,18331,1,0,0,0,0,0,bisnow commercial real estate news,1
loc.gov,411495,0,0,0,1,0,0,,1
decorahnews.com,427,1,0,0,0,0,0,,1
fox5dc.com,31877,1,0,0,0,0,0,,1
tomslongdog.com,209,0,0,0,0,0,1,home - tom's long hot dogs,1
hetwebsite.net,27,1,0,0,0,0,0,het redirect for root,1
northwell.edu,9800,0,1,0,0,0,0,,1
paydayreport.com,409,1,0,0,0,0,0,payday report - covering labor in news deserts,1
nixonpeabody.com,1612,0,0,0,0,0,1,nixon peabody llp,1
hutchhealth.com,101,0,0,0,0,0,1,,1
modernhealthcare.com,14902,1,0,0,0,0,0,modern healthcare news today | modern healthcare,1
signaldc.com,26,1,0,0,0,0,0,signal group: government relations and strategic communications,1
davesculbertsonfuneralhome.com,184,0,0,0,0,0,1,,1
katc.com,22952,1,0,0,0,0,0,,1
ksoo.com,46,1,0,0,0,0,0,welcome to the new am 1000 ksoo,1
youtube.com,3654164,0,0,1,0,0,0,,1
kpel965.com,2692,1,0,0,0,0,0,96.5 kpel – news talk – lafayette news radio,1
pratttribune.com,12708,1,0,0,0,0,0,,1
sportscasting.com,482,1,0,0,0,0,0,"sportscasting - sports news from the nba, nfl & more 2024",1
cornellsun.com,99661,1,0,0,0,0,0,,1
eangus.org,333,1,0,0,0,0,0,home - eangus,1
towncville.com,379,0,0,0,0,0,1,charlottesville real estate firm | town realty llc,1
baseballhall.org,726,0,0,0,0,0,1,home | baseball hall of fame,1
dailystarjournal.com,13080,1,0,0,0,0,0,,1
modestosda.org,1,0,0,0,0,0,1,"welcome home! | modesto central sda church | modesto, ca",1
hannibal.net,1229,1,0,0,0,0,0,,1
710keel.com,4514,1,0,0,0,0,0,news radio 710 keel – breaking news and trending talk – shreveport news radio,1
newsleader.com,15043,1,0,0,0,0,0,,1
investmentnews.com,2414,1,0,0,0,0,0,,1
plansponsor.com,1612,1,0,0,0,0,0,"
        plansponsor | plan design & investment strategy insights    ",1
inbloomflorist.com,1,0,0,0,0,0,1,orlando florist - flower delivery orlando by in bloom florist,1
stanforddaily.com,9087,1,0,0,0,0,0,,1
krem.com,12837,1,0,0,0,0,0,,1
myfox8.com,22480,1,0,0,0,0,0,,1
ahiworld.org,1779,1,0,0,0,0,0,,1
fosterfarmandranch.com,1,0,0,0,0,0,1,,1
ethanolproducer.com,742,1,0,0,0,0,0,ethanol producer magazine,1
rehaboftifton.com,3,0,0,0,0,0,1,,1
eldoradonews.com,454,1,0,0,0,0,0,,1
kyuk.org,436,1,0,0,0,0,0,,1
milwaukeenns.org,19908,1,0,0,0,0,0,milwaukee neighborhood news service,1
vulture.com,7768,1,0,0,0,0,0,,1
johnsontreeco.com,72,0,0,0,0,0,1,north fork tree service | johnson tree co.,1
scofieldacupuncture.com,3,0,0,0,0,0,1,scofield,1
medicaldesignandoutsourcing.com,1628,0,0,0,0,0,1,,1
cfr.org,28927,1,0,0,0,0,0,council on foreign relations,1
times-herald.com,71663,1,0,0,0,0,0,,1
thomashospitality.com,586,0,0,0,0,0,1,,1
daily-times.com,3657,1,0,0,0,0,0,,1
palmveincenter.com,158,0,0,0,0,0,1,palm vein center | excellence in vein care,1
mikejohnsonspowersports.com,843,0,0,0,0,0,1,"home russellville russellville, ar (479) 968-7110",1
gregmurphyjazz.com,4781,0,0,0,0,0,1,,1
thesentinel.com,5738,1,0,0,0,0,0,,1
tulane.edu,49242,0,1,0,0,0,0,,1
house.gov,72868786,0,0,0,1,0,0,,1
latinorebels.com,7324,1,0,0,0,0,0,latino rebels -,1
thejewishnews.com,119481,1,0,0,0,0,0,,1
knollkregmemorialpark.com,11,0,0,0,0,0,1,"cemeteries in abingdon, va | knollkreg memorial park and cremation gardens",1
gallaghersarmy.com,29,0,0,0,0,0,1,,1
paynejr4congress.com,181165,0,0,0,0,1,0,,1
woodlandsonline.com,17400,1,0,0,0,0,0,the woodlands texas community site | woodlands online,1
gjsentinel.com,6209,1,0,0,0,0,0,,1
journalstandard.com,2907,1,0,0,0,0,0,,1
theintelligencer.com,19451,1,0,0,0,0,0,,1
chrisstewartlaw.com,14,0,0,0,0,0,1,,1
famunews.com,2463,1,0,0,0,0,0,,1
genovaburns.com,2262,0,0,0,0,0,1,genova burns llc,1
southparkpediatrics.net,11,0,0,0,0,0,1,hasil keluaran togel hongkong togel singapore togel sidney data pengeluaran hk sgp sdy hari ini,1
rivercitydrywall-painting.com,617,0,0,0,0,0,1,,1
timestelegram.com,12439,1,0,0,0,0,0,,1
intermountainhealthcare.org,65,0,0,0,0,0,1,,1
rja-law.com,472,0,0,0,0,0,1,top rated litigation lawyers in worcester massachsuetts,1
hilltopchevy.com,2,0,0,0,0,0,1,,1
hoosiertimes.com,15751,1,0,0,0,0,0,,1
davidsonian.com,522,1,0,0,0,0,0,,1
johnlocke.org,1,1,0,0,0,0,0,john locke foundation,1
dailyitem.com,61205,1,0,0,0,0,0,,1
nationwidechildrens.org,3553,0,0,0,0,0,1,nationwide children's hospital,1
baptistmessage.com,2149,1,0,0,0,0,0,"baptist message - ""helping louisiana baptists impact the world for christ""",1
ncbaclusa.coop,4,0,0,0,0,0,1,ncba clusa | national cooperative business association,1
palatkadailynews.com,426,1,0,0,0,0,0,,1
portclintonnewsherald.com,1251,1,0,0,0,0,0,,1
herald-citizen.com,14,1,0,0,0,0,0,,1
kroger.com,487,0,0,0,0,0,1,,1
dispatch.com,183495,1,0,0,0,0,0,,1
stjohnsource.com,13564,1,0,0,0,0,0,st. john source | independent and trusted since 1999,1
hankjohnsonschoolofgolf.com,1481,0,0,0,0,0,1,,1
madisonvillemeteor.com,5163,1,0,0,0,0,0,madisonville meteor,1
justanswer.com,3,0,0,0,0,0,1,ask an expert & get answers to your questions - asap,1
journal-topics.com,16739,1,0,0,0,0,0,,1
americanlibrariesmagazine.org,1230,0,0,0,0,0,1,,1
nny360.com,31220,1,0,0,0,0,0,nny360.com,1
brooksrehab.org,1,0,0,0,0,0,1,"stroke, brain & spinal cord injury experts | brooks rehabilitation",1
chsli.org,4,0,0,0,0,0,1,home | catholic health long island,1
brianfitzrealestate.com,3072,0,0,0,0,0,1,,1
wdam.com,85373,1,0,0,0,0,0,,1
kswo.com,21990,1,0,0,0,0,0,,1
blackeconomicalliance.org,394414,1,0,0,0,0,0,homepage - black economic alliance,1
thesuntimesnews.com,2471,1,0,0,0,0,0,,1
thenewsguard.com,799,1,0,0,0,0,0,,1
occupydemocrats.com,4,1,0,0,0,0,0,,1
thecounty.me,1,0,0,0,0,0,1,home - the county,1
barbaraleefoundation.org,5411,0,0,0,0,0,1,,1
lenconnect.com,20921,1,0,0,0,0,0,,1
showmeprogress.com,16,1,0,0,0,0,0,show me progress | covering government and politics in missouri – since 2007,1
lpb.org,12727,0,0,0,0,0,1,,1
towleroad.com,3128,1,0,0,0,0,0,,1
geneva.edu,1,0,1,0,0,0,0,,1
pbs.org,745150,1,0,0,0,0,0,,1
riderta.com,2,0,0,0,1,0,0,homepage | riderta,1
we-ha.com,347,1,0,0,0,0,0,we-ha | west hartford news | west hartford ct,1
thestocktonteam.com,52,0,0,0,0,0,1,"keller williams showcase | steve stockton | commerce township, mi | 248-755-7500",1
gatech.edu,76,0,1,0,0,0,0,,1
colgate.edu,31697,0,1,0,0,0,0,,1
timesrepublican.com,5325,1,0,0,0,0,0,,1
ktvz.com,111375,1,0,0,0,0,0,,1
weny.com,35066,0,0,0,0,0,1,,1
hartfordhealthcaremedicalgroup.org,4719,0,0,0,0,0,1,,1
peoplesmart.com,28,0,0,0,0,0,1,peoplesmart - find professional contacts,1
ktuu.com,38,1,0,0,0,0,0,,1
dailynexus.com,9047,1,0,0,0,0,0,,1
mcalesternews.com,2180,1,0,0,0,0,0,,1
olympiawa.gov,34573,0,0,0,1,0,0,,1
realartmuse.com,3808,0,0,0,0,0,1,home-2018 - real art muse,1
scientificamerican.com,9592,1,0,0,0,0,0,,1
nymag.com,601262,1,0,0,0,0,0,,1
idahopress.com,81610,1,0,0,0,0,0,,1
votersedge.org,1001,0,0,0,0,0,1,voter's edge | maplight,1
musicradar.com,563,1,0,0,0,0,0,,1
laffey.com,1493,0,0,0,0,0,1,"long island, ny real estate & homes for sale - laffey real estate ",1
thestate.com,413000,0,0,0,0,0,1,,1
rosesdiscountstores.com,92,0,0,0,0,0,1,roses discount stores - the real deal place for everything for your home,1
10tv.com,85059,1,0,0,0,0,0,,1
nyee.edu,4398,0,0,0,0,0,1,,1
wyandottedaily.com,4747,1,0,0,0,0,0,,1
jameskellylawfirm.com,19,0,0,0,0,0,1,,1
quakingaspenquiltguild.org,98,0,0,0,0,0,1,"quaking aspen quilt guild – boulder, colorado",1
mikejohnsonlaw.com,3367,0,0,0,0,0,1,law offices of michael johnson - law offices of michael johnson,1
micromedix.net,8,0,0,0,0,0,1,micromedix - full service pc specialists,1
courierpostonline.com,33820,1,0,0,0,0,0,,1
troyrecord.com,9054,1,0,0,0,0,0,,1
mikesellscadillac.com,70,0,0,0,0,0,1,,1
josh4congress.com,84859,0,0,0,0,1,0,,1
mikekellychicago.com,3983,0,0,0,0,0,1,,1
dentalcareonsanantonio.com,418,0,0,0,0,0,1,,1
midwesteyeconsultants.com,96,0,0,0,0,0,1,,1
eveningsun.com,11092,1,0,0,0,0,0,,1
aminerdetail.com,123,1,0,0,0,0,0,a miner detail | maryland political news,1
gknet.com,4,0,0,0,0,0,1,home - gallagher & kennedy,1
shorefrontnews.com,3882,1,0,0,0,0,0,,1
massapequaobserver.com,811,1,0,0,0,0,0,,1
mrjatlaw.com,48,0,0,0,0,0,1,,1
baptisthealth.com,1309,0,0,0,0,0,1,,1
thetandd.com,28572,1,0,0,0,0,0,,1
atlantablackstar.com,550,1,0,0,0,0,0,,1
alamogordonews.com,847,1,0,0,0,0,0,,1
farmanddairy.com,45810,1,0,0,0,0,0,"farm and dairy: agriculture news, auctions, classifieds",1
wqow.com,35928,1,0,0,0,0,0,,1
waff.com,69022,1,0,0,0,0,0,,1
tommiemedia.com,1308,1,0,0,0,0,0,"tommiemedia – campus, local and world news reported daily by university of st. thomas students",1
dcc.edu,3,0,1,0,0,0,0,,1
thecityofcenterpoint.org,1,0,0,0,0,0,1,thecityofcenterpoint.org,1
adamshometownmarkets.com,6,0,0,0,0,0,1,adams hometown markets | the official site of adams hometown markets,1
interorealestate.com,28,0,0,0,0,0,1,,1
thestatehousefile.com,3636,1,0,0,0,0,0,thestatehousefile.com,1
whittierdailynews.com,87554,1,0,0,0,0,0,,1
owprivatecapital.com,15,0,0,0,0,0,1,home - omega wealth private capital,1
levittown-tribune.com,1213,1,0,0,0,0,0,,1
betterchemistry.com,1,0,0,0,0,0,1,better chemistry,1
dsparker.com,989,0,0,0,0,0,1,david scott parker architects,1
jerusalem2020.com,39,0,0,0,0,0,1,,1
kirksvilledailyexpress.com,415,1,0,0,0,0,0,,1
fox23.com,40449,1,0,0,0,0,0,,1
tscp.com,4,0,0,0,0,0,1,home - thompson street capital partners,1
asiasociety.org,13254,0,0,0,0,0,1,asia society,1
wgem.com,45043,1,0,0,0,0,0,"wgem | local news, weather, sports | quincy, il",1
simpsoneye.com,79,0,0,0,0,0,1,simpson eye physicians & surgeons,1
hospicenews.com,10362,1,0,0,0,0,0,,1
kulr8.com,34393,1,0,0,0,0,0,,1
southeastagnet.com,12749,1,0,0,0,0,0,southeast agnet home - southeast agnet,1
nthaipalacenj.com,9,0,0,0,0,0,1,"n thai palace - old bridge, east brunswick, nj",1
athensnews.com,5551,1,0,0,0,0,0,,1
bros4america.com,1,1,0,0,0,0,0,,1
castorforcongress.com,117457,0,0,0,0,1,0,,1
arckc.com,420,0,0,0,0,0,1,,1
mosquitojoe.com,528,0,0,0,0,0,1,"pest control, treatment & exterminator services | mosquito joe",1
physicaltherapyky.com,1313,0,0,0,0,0,1,,1
kwwl.com,47107,1,0,0,0,0,0,,1
wect.com,23216,1,0,0,0,0,0,,1
nj1015.com,7813,1,0,0,0,0,0,new jersey 101.5 – proud to be new jersey – new jersey news radio,1
resurgens.com,2467,0,0,0,0,0,1,resurgens orthopedics atlanta | resurgens orthopaedics,1
clubfurniture.com,20,0,0,0,0,0,1,,1
wytv.com,1667,0,0,0,0,0,1,,1
thelcn.com,7771,1,0,0,0,0,0,,1
cloakanddaggerlondon.co.uk,8826,0,0,0,0,0,1,cloak & dagger london tattoos & tattoo removal,1
indystar.com,358591,1,0,0,0,0,0,,1
california45th.org,282,0,0,0,0,0,1,,1
stennis.gov,28203,0,0,0,1,0,0,,1
repfredkeller.com,489,0,0,0,0,1,0,,1
spacenews.com,75516,1,0,0,0,0,0,,1
auburnexaminer.com,14244,1,0,0,0,0,0,"local news in auburn, wa | auburn examiner",1
emmerforcongress.com,97696,0,0,0,0,1,0,,1
kclu.org,181,1,0,0,0,0,0,,1
biologicaldiversity.org,73800,0,0,0,0,0,1,center for biological diversity,1
scpr.org,21320,1,0,0,0,0,0,,1
marinbar.org,356,0,0,0,0,0,1,"marin county bar association | home	",1
thepublicsradio.org,2498,1,0,0,0,0,0,,1
nationofchange.org,26,1,0,0,0,0,0,,1
ashleycountyledger.com,433,1,0,0,0,0,0,,1
sbappraisalservices.com,7,0,0,0,0,0,1,,1
nptelegraph.com,8579,1,0,0,0,0,0,,1
victoriaadvocate.com,85148,1,0,0,0,0,0,,1
hbcudigest.com,439,0,0,0,0,0,1,,1
nwherald.com,23302,1,0,0,0,0,0,,1
onwardstate.com,76,1,0,0,0,0,0,,1
jll.com,876,0,0,0,0,0,1,commercial real estate | property investment | jll,1
avclub.com,848,1,0,0,0,0,0,,1
jerrynadler.com,94005,0,0,0,0,1,0,jerry nadler for congress,1
grsm.com,82,0,0,0,0,0,1,,1
htwlegal.com,41,0,0,0,0,0,1,,1
newschannel5.com,68210,1,0,0,0,0,0,,1
theintercept.com,593631,1,0,0,0,0,0,,1
nrd.gov,31,0,0,0,1,0,0,,1
journal-republican.com,1235,1,0,0,0,0,0,,1
videtteonline.com,2112,1,0,0,0,0,0,,1
joinpaulcook.com,87453,0,0,0,0,0,1,,1
speters.com,5096,0,0,0,0,0,1,,1
calvertforcongress.com,119202,0,0,0,0,1,0,,1
cvim.org,2847,0,0,0,0,0,1,home - community volunteers in medicine,1
unc.edu,23,0,1,0,0,0,0,,1
villagetavern.com,1088,0,0,0,0,0,1,,1
rosesellshouses.com,12,0,0,0,0,0,1,,1
reporternewspapers.net,5827,1,0,0,0,0,0,,1
coachfortomorrow.com,214,0,0,0,0,0,1,home - coach for tomorrow,1
sportsworld-usa.com,11,0,0,0,0,0,1,"phil and cory's sportsworld
– phil and cory castinetti's sportsworld
",1
xeniagazette.com,2558,1,0,0,0,0,0,,1
